timestamp,script,config_summary,method,headline_metric,verdict,notes,backfilled
2026-08-15T00:24:26,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=100000 risk_pct=0.005 lot_size=1 max_positions_per_industry=1 max_drawdown_pct=30 nikkei_crash_pct=5 beta_weighted_halt_pct=5 rolling_folds=3,rolling_folds,"shared_sqn=[-0.53, 1.20, 0.64] (breaker無し: [-0.53,2.59,2.51] のfold3のみ改善)",adopted,2026-08-14セッション2。業種分散(上限1)+サーキットブレーカー(30%/5%/5%)。暴走期間(2024-08クラッシュ含むfold3)で改善、平常期は小さな保険料。現在の本番設定。,True
2026-08-15T00:24:26,walkforward.py,tickers=prime(max=300) years=6 capital=100000 risk_pct=0.005 lot_size=1 max_positions_per_industry=1,"split_check (oos_years=1, 単発)",in-sample SQN 2.02 -> out-of-sample SQN -0.14,inconclusive,2026-08-14。業種分散のみ単体テスト。単発split checkでは過学習の兆候(SQN崩壊)が出たが、後にrolling_foldsで再検証すべきと判断(小サンプルの可能性)。,True
2026-08-15T00:24:26,backtest.strategy (use_trailing_stop),tickers=prime(max=300) years=6 capital=100000 risk_pct=0.005 lot_size=1 trailing_stop=True rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[0.03,0.00,0.07](通常[1.06,1.07,1.64]) shared_sqn=[-1.98,-1.78,-2.89](通常[-0.09,2.59,2.51])",rejected,2026-08-14。ユーザー提案(含み益を守るトレーリングストップ)。全fold・両方式で明確に悪化。通常の値動きのブレで早期決済されるため。,True
2026-08-15T00:24:26,backtest.strategy (correlation_window/max_avg_correlation),correlation_window=60 max_avg_correlation=0.7 -> 0.5 -> 0.2(30銘柄smoke) rolling_folds=3,rolling_folds + smoke test,"0.7:ベースラインと完全一致(無効果) / 0.5:288,249,284件・SQN-0.24,2.60,2.54(ベースラインとほぼ同一) / 0.2(30銘柄):237->148件、SQN3.30->2.39",rejected,2026-08-14。相関ベース分散(保有中銘柄との相関が高い候補を見送り)。小口座は同時保有数が少なく、現実的なしきい値では制約がほぼ発動しない。,True
2026-08-15T00:24:26,backtest.strategy (target_portfolio_beta),target_portfolio_beta=0.3/0.8/1.0/1.2/1.5 rolling_folds=3,rolling_folds + smoke test,"0.8: shared_sqn=[0.57,1.67,1.29](通常[-0.09,2.59,2.51])。1.0/1.2/1.5はベースラインと同一(無効果)。0.3(30銘柄)はさらに縮小・悪化",rejected,2026-08-14。保有中銘柄のβ加重合計が高い時にサイジングを縮小。弱い期間は改善したが強い期間の悪化がそれを上回り、3fold平均で正味マイナス。,True
2026-08-19T23:05:40,walkforward.py --rolling_folds,tickers=prime(max=300) years=6 capital=100000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=1 correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=30.0 nikkei_crash_pct=5.0 beta_weighted_halt_pct=5.0 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(1.26), np.float64(1.27), np.float64(1.67)] shared_sqn=[1.63, 2.0, 2.37]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T22:13:22,walkforward.py --rolling_folds,tickers=prime(max=30) years=3 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=None correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=None nikkei_crash_pct=None beta_weighted_halt_pct=None overhead_supply_window=None max_overhead_supply_ratio=None rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(3.3), np.float64(2.42), np.float64(1.33)] shared_sqn=[3.13, 2.17, 0.39]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T22:13:36,walkforward.py --rolling_folds,tickers=prime(max=30) years=3 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=None correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=None nikkei_crash_pct=None beta_weighted_halt_pct=None overhead_supply_window=120 max_overhead_supply_ratio=0.05 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(3.31), np.float64(2.42), np.float64(1.33)] shared_sqn=[4.13, 0.47, -0.49]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T22:29:06,walkforward.py --rolling_folds,tickers=prime(max=30) years=3 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=None correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=None nikkei_crash_pct=None beta_weighted_halt_pct=None overhead_supply_window=120 max_overhead_supply_ratio=0.15 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(3.3), np.float64(2.42), np.float64(1.33)] shared_sqn=[2.94, 0.83, -0.54]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
2026-08-24T22:29:20,walkforward.py --rolling_folds,tickers=prime(max=30) years=3 capital=1000000 risk_pct=0.005 lot_size=1 min_signals=None trailing_stop=False max_positions_per_industry=None correlation_window=None max_avg_correlation=None target_portfolio_beta=None max_drawdown_pct=None nikkei_crash_pct=None beta_weighted_halt_pct=None overhead_supply_window=120 max_overhead_supply_ratio=0.25 rolling_folds=3,rolling_folds,"pooled_expectancy_pct=[np.float64(3.29), np.float64(2.42), np.float64(1.33)] shared_sqn=[2.97, 1.61, -0.26]",info,自動記録。採用/不採用の判断は別途人間が行う。,False
